nome,tipo,uf,municipio,latitude,longitude,fonte,fonte_url
SALTO MP - MPTO,Laboratório de Inovação,TO,Palmas,-10.1689,-48.3317,lisp_brasil_mapeamento,
Serra Inova+ Laboratório de Inovação da Prefeitura de Serra,Laboratório de Inovação,ES,Vitória,-20.3155,-40.3128,lisp_brasil_mapeamento,https://www.serra.es.gov.br/noticias/serra-e-o-primeiro-municipio-do-estado-a-ter-laboratorio-de-inovacao-na-gestao-publica
Smart Policing Lab - Brigada Militar do Rio Grande do Sul,Laboratório de Inovação,RS,Porto Alegre,-30.0346,-51.2177,lisp_brasil_mapeamento,
TransformaLab - Laboratório de Transformação da Gestão e dos Serviços Públicos,Laboratório de Inovação,GO,Goiânia,-16.6869,-49.2648,lisp_brasil_mapeamento,
Usina Pernambucana de Inovação,Laboratório de Inovação,PE,Recife,-8.0476,-34.877,lisp_brasil_mapeamento,
Abbott (Brazil),ICT,SP,São Paulo,-23.5475,-46.63611,openalex,https://openalex.org/I4405261284
Abili (Brazil),ICT,,São Paulo,-23.551300048828125,-46.64203643798828,openalex,https://openalex.org/I4210136025
Ablevision (Brazil),ICT,,São Carlos,-22.01703643798828,-47.89238357543945,openalex,https://openalex.org/I4210098636
Abutua Tecnologia,Universidade,,Sorocaba,-23.495569229125977,-47.504547119140625,openalex,https://openalex.org/I4210118820
AC Camargo Hospital,ICT,SP,São Paulo,-23.5475,-46.63611,openalex,https://openalex.org/I3019035496
Academia Brasileira de Audiologia,ICT,,São Paulo,-23.558385848999023,-46.65129852294922,openalex,https://openalex.org/I4210160218
Academia da Força Aérea,Universidade,,Pirassununga,-21.996110916137695,-47.42583084106445,openalex,https://openalex.org/I4210095538
Academia de Ciências do Estado de São Paulo,ICT,,São Paulo,-23.560640335083008,-46.72184753417969,openalex,https://openalex.org/I4210115762
Academia Nacional de Cuidados Paliativos,ICT,,São Paulo,-23.615158081054688,-46.693965911865234,openalex,https://openalex.org/I4210122693
Ação Educativa,ICT,SP,São Paulo,-23.5475,-46.63611,openalex,https://openalex.org/I4210098355
